,mullus surmuletus,"Mullus surmuletus Linnaeus, 1758",SPECIES,Mullidae,Mullus surmuletus,100,EXACT
,Mullus barbatus ,"Mullus barbatus Linnaeus, 1758",SPECIES,Mullidae,Mullus barbatus,100,EXACT
,Pseudupeneus prayensis ,"Pseudupeneus prayensis (Cuvier, 1829)",SPECIES,Mullidae,Pseudupeneus prayensis,100,EXACT
,sparisoma cretense,"Sparisoma cretense (Linnaeus, 1758)",SPECIES,Scaridae,Sparisoma cretense,100,EXACT
,Pomatomus saltatrix,"Pomatomus saltatrix (Linnaeus, 1766)",SPECIES,Pomatomidae,Pomatomus saltatrix,100,EXACT
,Psettodes belcheri,"Psettodes belcheri Bennett, 1831",SPECIES,Psettodidae,Psettodes belcheri,100,EXACT
,Argyrosomus regius,"Argyrosomus regius (Asso, 1801)",SPECIES,Sciaenidae,Argyrosomus regius,100,EXACT
,Pseudotolithus brachygnatus,"Pseudotolithus brachygnathus Bleeker, 1863",SPECIES,Sciaenidae,Pseudotolithus brachygnathus,91,FUZZY
,Pseudotolithus senegalensis,"Pseudotolithus senegalensis (Valenciennes, 1833)",SPECIES,Sciaenidae,Pseudotolithus senegalensis,100,EXACT
,Sciaena umbra,"Sciaena umbra Linnaeus, 1758",SPECIES,Sciaenidae,Sciaena umbra,100,EXACT
,Umbrina canariensis,"Umbrina canariensis Valenciennes, 1843",SPECIES,Sciaenidae,Umbrina canariensis,100,EXACT
,Umbrina cirrosa,"Umbrina cirrosa (Linnaeus, 1758)",SPECIES,Sciaenidae,Umbrina cirrosa,100,EXACT
,Auxis thazard,"Auxis thazard (Lacepède, 1800)",SPECIES,Scombridae,Auxis thazard,100,EXACT
,Lophius piscatorius,"Lophius piscatorius Linnaeus, 1758",SPECIES,Lophiidae,Lophius piscatorius,100,EXACT
,Arnoglossus kessleri,"Arnoglossus kessleri Schmidt, 1915",SPECIES,Bothidae,Arnoglossus kessleri,100,EXACT
,Scorpaena scrofa,"Scorpaena scrofa Linnaeus, 1758",SPECIES,Scorpaenidae,Scorpaena scrofa,100,EXACT
,Venus verrucosa,Venus verrucosa Linnaeus,SPECIES,Veneridae,Venus verrucosa,100,EXACT
,Venus rosalina,"Venus rosalina Philippi, 1849",SPECIES,Veneridae,Venus rosalina,100,EXACT
,Geryon maritae,"Geryon maritae Manning & Holthuis, 1981",SPECIES,Geryonidae,Geryon maritae,100,EXACT
,Arius heudeloti,"Arius heudeloti (non Valenciennes, 1840)",SPECIES,Ariidae,Arius heudeloti,99,EXACT
,Ethmalosa fimbriata,"Ethmalosa fimbriata (Bowdich, 1825)",SPECIES,Clupeidae,Ethmalosa fimbriata,100,EXACT
,Brotula barbata,"Brotula barbata (Bloch & Schneider, 1801)",SPECIES,Ophidiidae,Brotula barbata,100,EXACT
,Orcynopsis unicolor,"Orcynopsis unicolor (Geoffroy Saint-Hilaire, 1817)",SPECIES,Scombridae,Orcynopsis unicolor,100,EXACT
,Sarda sarda,"Sarda sarda (Bloch, 1793)",SPECIES,Scombridae,Sarda sarda,100,EXACT
,Auxis rochei,"Auxis rochei (Risso, 1810)",SPECIES,Scombridae,Auxis rochei,100,EXACT
,Euthynnus alletteratus,"Euthynnus alletteratus (Rafinesque, 1810)",SPECIES,Scombridae,Euthynnus alletteratus,100,EXACT
,Katsuwonus pelamis,"Katsuwonus pelamis (Linnaeus, 1758)",SPECIES,Scombridae,Katsuwonus pelamis,100,EXACT
,Scomber scombrus,"Scomber scombrus Linnaeus, 1758",SPECIES,Scombridae,Scomber scombrus,100,EXACT
,Scomberomorus tritor,"Scomberomorus tritor (Cuvier, 1832)",SPECIES,Scombridae,Scomberomorus tritor,100,EXACT
,Thunnus alalunga,"Thunnus alalunga (Bonnaterre, 1788)",SPECIES,Scombridae,Thunnus alalunga,100,EXACT
,Thunnus albacores,"Thunnus albacores (Bonnaterre, 1788)",SPECIES,Scombridae,Thunnus albacores,99,EXACT
,Thunnus obesus,"Thunnus obesus (Lowe, 1839)",SPECIES,Scombridae,Thunnus obesus,100,EXACT
,Thunnus thunnus thunnus,"Thunnus thynnus (Linnaeus, 1758)",SPECIES,Scombridae,Thunnus thynnus,87,FUZZY
,Scomberesox saurus saurus,"Scomberesox saurus (Walbaum, 1792)",SPECIES,Scomberesocidae,Scomberesox saurus,100,EXACT
,Scomber japonicus,"Scomber japonicus Houttuyn, 1782",SPECIES,Scombridae,Scomber japonicus,100,EXACT
,Muraena helena,"Muraena helena Linnaeus, 1758",SPECIES,Muraenidae,Muraena helena,100,EXACT
,Merlucius merlucius,"Merluccius merluccius (Linnaeus, 1758)",SPECIES,Merlucciidae,Merluccius merluccius,86,FUZZY
,Brama brama,"Brama brama (Bonnaterre, 1788)",SPECIES,Bramidae,Brama brama,100,EXACT
,Helicolenus dactylopterus,"Helicolenus dactylopterus (Delaroche, 1809)",SPECIES,Sebastidae,Helicolenus dactylopterus,100,EXACT
,Physis physis,"Physis Scopoli, 1786",GENUS,,Physis,91,HIGHERRANK
,Pleuronectes platessa,"Pleuronectes platessa Linnaeus, 1758",SPECIES,Pleuronectidae,Pleuronectes platessa,100,EXACT
,Merluccis senegalensis ,"Merluccius senegalensis Cadenat, 1950",SPECIES,Merlucciidae,Merluccius senegalensis,95,FUZZY
,Syacium micrurum,"Syacium micrurum Ranzani, 1842",SPECIES,Paralichthyidae,Syacium micrurum,100,EXACT
,Hippoglossus negro,"Hippoglossus Cuvier, 1816",GENUS,Pleuronectidae,Hippoglossus,96,HIGHERRANK
,Rhizopriondon acutus ,"Rhizoprionodon acutus (Ruppell, 1837)",SPECIES,Carcharhinidae,Rhizoprionodon acutus,94,FUZZY
,Citharus linguatula ,"Citharus Artedi in Röse, 1793",GENUS,Citharidae,Citharus,91,HIGHERRANK
,Beryx decadactylus,"Beryx decadactylus Cuvier, 1829",SPECIES,Berycidae,Beryx decadactylus,100,EXACT
,Galeorhinus galeus,"Galeorhinus galeus (Linnaeus, 1758)",SPECIES,Triakidae,Galeorhinus galeus,100,EXACT
,Cymbium cymbium,"Cymbium cymbium (Linnaeus, 1758)",SPECIES,Volutidae,Cymbium cymbium,100,EXACT
,Todaredes sagittatus,"Todarodes sagittatus (Lamarck, 1798)",SPECIES,Ommastrephidae,Todarodes sagittatus,92,FUZZY
,Dentes sp,,,,,100,NONE
,Alosa fallax,"Alosa fallax (Lacepède, 1803)",SPECIES,Clupeidae,Alosa fallax,100,EXACT
,Coryphaena hippurus,"Coryphaena hippurus Linnaeus, 1758",SPECIES,Coryphaenidae,Coryphaena hippurus,100,EXACT
,Coryphaena equiselis,"Coryphaena equiselis Linnaeus, 1758",SPECIES,Coryphaenidae,Coryphaena equiselis,100,EXACT
,Trachunotus ovatus,,,,,100,NONE
