family;genus;id;name
MIMOSOIDEAE;ACACIA;119;Acacia ehrenbergiana Hayne,
MIMOSOIDEAE;ACACIA;120;Acacia erythrocalyx Brenan.
MIMOSOIDEAE;ACACIA;121;Acacia gourmaensis A. Chev.
MIMOSOIDEAE;ACACIA;122;Acacia kirkii Oliver
MIMOSOIDEAE;ACACIA;123;Acacia laeta R. Br. ex Benth.
MIMOSOIDEAE;ACACIA;124;Acacia macrostachya DC.
MIMOSOIDEAE;ACACIA;125;Acacia nilotica subsp. adstringens (Schumach. & Thonn.) Roberty 
MIMOSOIDEAE;ACACIA;126;Acacia nilotica subsp. tomentosa (Benth.) Brenan
MIMOSOIDEAE;ACACIA;127;Acacia obliquinervia Tindale
MIMOSOIDEAE;ACACIA;128;Acacia senegal L. Willd
MIMOSOIDEAE;ACACIA;129;Acacia seyal Del.
MIMOSOIDEAE;ACACIA;130;Acacia sieberiana DC.
MIMOSOIDEAE;ACACIA;131;Acacia tortilis (Forsk.) Hayne subsp. raddiana (Savi) Brenan
MIMOSOIDEAE;DICHROSTACHYS;132;Dichrostachys cinerea (L.) Wight & Arn. subsp. Cinerea
MIMOSOIDEAE;ENTADA;133;Entada africana Guill. & Perr. 
MIMOSOIDEAE;FAIDHERBIA;134;Faidherbia albida (Del.) A. Chev.
MIMOSOIDEAE;LEUCAENA;135;Leucaena leucocephala (Lam.) de Wit.
MIMOSOIDEAE;MIMOSA;136;Mimosa pigra L.
MIMOSOIDEAE;NEPTUNIA;137;Neptunia oleracea Lour. 
MIMOSOIDEAE;PITHECELOBIUM;138;Pithecelobium dulce Benth.
MIMOSOIDEAE;PROSOPIS;139;Prosopis africana (Guill.et al.) Taub.
MIMOSOIDEAE;PROSOPIS;140;Prosopis chilensis (Mol.) Stuntz.
