Alpinia purpurata ,(Vieill.) K.Schum.,Zingiberaceae,Guillainia purpurata Vieill.,,Alpinia purpurata (Vieill.) K.Schum.,SPECIES,Zingiberaceae,Alpinia purpurata,100,EXACT
Alpinia sanderae ,Hort. Sand.,Zingiberaceae,,"Gingembre rouge, Galanga, Alpinie",Alpinia sanderae Sander,SPECIES,Zingiberaceae,Alpinia sanderae,100,EXACT
Alpinia zerumbet ,(Pers.) B.L.Burtt & R.M. Sm. variegata,Zingiberaceae,Costus zerumbet Pers.; A. vittata W. Bull,,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,SPECIES,Zingiberaceae,Alpinia zerumbet,100,EXACT
Alternanthera bettzickiana ,(Regel) G. Nicholson,Amaranthaceae,Telanthera bettzickiana Regel,Gingembre coquille,Alternanthera bettzickiana (Regel) Voss,SPECIES,Amaranthaceae,Alternanthera bettzickiana,99,EXACT
Alternanthera bettzickiana ,(Regel) G. Nicholson var. aurea,Amaranthaceae,,Alternanthera,Alternanthera bettzickiana (Regel) Voss,SPECIES,Amaranthaceae,Alternanthera bettzickiana,99,EXACT
Alternanthera dentata ,(Moench) Scheygr.var.'Ruby',Amaranthaceae,Gomphrena dentata Moench,,Alternanthera dentata (Moench) Stuchlik ex R.E. Fr.,SPECIES,Amaranthaceae,Alternanthera dentata,100,EXACT
Alternanthera versicolor,Noronha,Amaranthaceae,Celosiacristata L.,,Alternanthera versicolor Hort. ex Regel,SPECIES,Amaranthaceae,Alternanthera versicolor,100,EXACT
Amaranthus hybridus ,L. subsp. cruentus (L.) Thell.,Amaranthaceae,A. cruentus L.; A. hybridus subsp. cruentus (L.) Thell.;A. chlorostachys auct. - non Willd.-- misapplied name (inv); A. cruentus var. paniculatus (L.) Thell.;A. paniculatus L.; A. caudatus var. pseudopaniculatus Suess.; A. caudatus forma oblongopetalus Suess.; A. hypochondriacus var. subdubius Suess.; A. hybridus var. incurvatus auct. - sensu Brenan  ,"Amarante queue de renard, Blé des Incas",Amaranthus hybridus L.,SPECIES,Amaranthaceae,Amaranthus hybridus,100,EXACT
Amaranthus paniculatus ,L.,Amaranthaceae,A. hybridus subsp. cruentus (L.) Thell.  A. hybridusvar. paniculatus (L.) Thell.,,Amaranthus paniculatus L.,SPECIES,Amaranthaceae,Amaranthus paniculatus,100,EXACT
Amaranthus tricolor,L.,Amaranthaceae,A. tricolor subsp. tristis (L.) Aellen ; A. tristis L.;  A. inamoenus Willd.  ,,Amaranthus tricolor L.,SPECIES,Amaranthaceae,Amaranthus tricolor,100,EXACT
Ananas comosus, (L.) Merr. 'Porteanus',Bromeliaceae,,Crête de coq,Ananas comosus (L.) Merr.,SPECIES,Bromeliaceae,Ananas comosus,100,EXACT
Andryala pinnatifida, Aiton,Asteraceae,Andryala canariensis Lowe  ,Ananas,Andryala pinnatifida Aiton,SPECIES,Asteraceae,Andryala pinnatifida,100,EXACT
Anthurium andraeanum ,Lind. ,Araceae,,,Anthurium andraeanum Linden ex André,SPECIES,Araceae,Anthurium andraeanum,100,EXACT
Anthurium andraeanum ,Lind. var. rhodochlorum,Araceae,,Andryale,Anthurium andraeanum Linden ex André,SPECIES,Araceae,Anthurium andraeanum,100,EXACT
Anthurium andraeanum ,Lind. var. rubrum,Araceae,,Anthurium,Anthurium andraeanum Linden ex André,SPECIES,Araceae,Anthurium andraeanum,100,EXACT
Anthurium clarinervium ,Schott.,Araceae,,,Anthurium clarinervium Matuda,SPECIES,Araceae,Anthurium clarinervium,100,EXACT
Anthurium hookeri ,Kunth.,Araceae,,,Anthurium hookeri Kunth,SPECIES,Araceae,Anthurium hookeri,100,EXACT
Anthurium scherzerianum ,Schott.,Araceae,,,Anthurium scherzerianum Schott,SPECIES,Araceae,Anthurium scherzerianum,100,EXACT
Antigonon leptopus, Hook. & Arn.,Portulacaceae,,,Antigonon leptopus Hook. & Arn.,SPECIES,Polygonaceae,Antigonon leptopus,100,EXACT
Aphelandra squarrosa, Nees.,Acanthaceae,,,Aphelandra squarrosa Nees,SPECIES,Acanthaceae,Aphelandra squarrosa,100,EXACT
Aptenia cordifolia ,Schwant.,Aïzoaceae,Mesembryanthemum cordifolium L.f.,"Liane corail, Belle mexicaine, Chaïne d'amour",Aptenia cordifolia (L. f.) Schwantes,SPECIES,Aizoaceae,Aptenia cordifolia,100,EXACT
Arachnis flos-aeris, (L.) Rchb. f.,Orchidaceae,,"Aphélandre, Plante zèbre",Arachnis flos-aeris (L.) Rchb.f.,SPECIES,Orchidaceae,Arachnis flos-aeris,100,EXACT
Aralia elata ,Seem.,Araliaceae,Aralia spinosa L.; Dimorphanthus elatus Miq.;,Aptenia,Aralia elata (Miq.) Seem.,SPECIES,Araliaceae,Aralia elata,100,EXACT
Aralia elata, Seem. variegata,Araliaceae,,Orchidée,Aralia elata (Miq.) Seem.,SPECIES,Araliaceae,Aralia elata,100,EXACT
Aralia fruticosa ,Sessé & Moc.,Araliaceae,,,Aralia fruticosa (L.) L.H.Bailey,SPECIES,Araliaceae,Aralia fruticosa,100,EXACT
Araucaria cunninghamii ,Ait.,Araucariaceae,,"Aralie ailé, Angélique du Japon",Araucaria cunninghamii Aiton ex A. Cunn.,SPECIES,Araucariaceae,Araucaria cunninghamii,99,EXACT
Araucaria excelsa ,R. Br.,Araucariaceae,,Angélique de Chine,Araucaria excelsa (Lamb.) R. Br.,SPECIES,Araucariaceae,Araucaria excelsa,100,EXACT
Areca triandra ,Roxb.,Arecaceae,,"Araucaria, Pin à collier",Areca triandra Roxb. ex Buch.-Ham.,SPECIES,Arecaceae,Areca triandra,100,EXACT
Aristolochia brasiliensis, Mart. & Zucc.,Aristolochiaceae,,Pin ou Sapin de Norfolk,Aristolochia brasiliensis Mart. & Zucc.,SPECIES,Aristolochiaceae,Aristolochia brasiliensis,100,EXACT
Aristolochia elegans ,Mast.,Aristolochiaceae,,,Aristolochia elegans Mast.,SPECIES,Aristolochiaceae,Aristolochia elegans,100,EXACT
Aristolochia fimbriata ,Cham.,Aristolochiaceae,,,Aristolochia fimbriata Cham.,SPECIES,Aristolochiaceae,Aristolochia fimbriata,100,EXACT
Aristolochia littoralis ,D. Parodi,Aristolochiaceae,,,Aristolochia littoralis D. Parodi,SPECIES,Aristolochiaceae,Aristolochia littoralis,100,EXACT
Arthropodium cirrhatum ,R.Br.,Liliaceae,,,Arthropodium cirrhatum (G.Forst.) R.Br.,SPECIES,Asparagaceae,Arthropodium cirrhatum,100,EXACT
