,Phoenix dactylifera,Arecaceae,Phoenix dactylifera L.,SPECIES,Arecaceae,Phoenix dactylifera,100,EXACT
,Piliostigma recticulum,Casesalpiniaceae,Piliostigma Hochst.,GENUS,Fabaceae,Piliostigma,96,HIGHERRANK
,Psoralea plicata,Fabaceae,Psoralea plicata Delile,SPECIES,Fabaceae,Psoralea plicata,100,EXACT
,Pulicaria mauritanica,Asteraceae,Pulicaria mauritanica Batt.,SPECIES,Asteraceae,Pulicaria mauritanica,100,EXACT
,Ricinus communus,Euphorbiaceae,Ricinus communis L.,SPECIES,Euphorbiaceae,Ricinus communis,93,FUZZY
,Salvadora persica,Salvadoraceae,Salvadora persica L.,SPECIES,Salvadoraceae,Salvadora persica,100,EXACT
,Sclerocarya birrea,Anacardiaceae,Sclerocarya birrea (A. Rich.) Hochst.,SPECIES,Anacardiaceae,Sclerocarya birrea,100,EXACT
,Scoparia dulcis L .,Scrophulariaceae,,,,,100,NONE
,Sorghum cernum,Poaceae,Sorghum cernuum (Ard.) Host,SPECIES,Poaceae,Sorghum cernuum,93,FUZZY
,Sorghum gambicum,Poaceae,Sorghum gambicum Snowden,SPECIES,Poaceae,Sorghum gambicum,100,EXACT
,Sterculia setigera,Sterculiaceae,Sterculia setigera Delile,SPECIES,Malvaceae,Sterculia setigera,100,EXACT
,Stipagrostis pungens,Poaceae,Stipagrostis pungens (Desf'.) De Winter,SPECIES,Poaceae,Stipagrostis pungens,100,EXACT
,Tamarindus indica,Casesalpiniaceae,Tamarindus indica L.,SPECIES,Fabaceae,Tamarindus indica,100,EXACT
,Tapinanthus sp.,Loranthaceae,,,,,100,NONE
,Terminalia macroptera,Combretaceae,Terminalia macroptera Mart.,SPECIES,Combretaceae,Terminalia macroptera,100,EXACT
,Vigna sinensis,Fabaceae,Vigna sinensis (L.) Savi ex Hausskn.,SPECIES,Fabaceae,Vigna sinensis,100,EXACT
,Zea mays,Gramineae,Zea mays L.,SPECIES,Poaceae,Zea mays,100,EXACT
,Ziziphus lotus,Rhamnaceae,Ziziphus lotus (L.) Lam.,SPECIES,Rhamnaceae,Ziziphus lotus,100,EXACT
,Ziziphus mauritania,Rhamnaceae,Ziziphus mauritiana Lam.,SPECIES,Rhamnaceae,Ziziphus mauritiana,92,FUZZY
