"basisOfRecord","occurrenceID","catalogNumber","scientificName","nomenclatureCode","family","eventDate","decimalLatitude","decimalLongitude","geodeticDatum","countryCode","locality","observer"
"HumanObservation","urn:MRBIF:ENSN:OCN:00036","36","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","15.95708","-12.00986","WGS84","MR","Soufa","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00037","37","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2007","15.88325","-12.03637","WGS84","MR","Guenétir2","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00038","38","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","16.75648","-11.99723","WGS84","MR","Legleyta","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00039","39","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","17.14076","-11.01114","WGS84","MR","Boûblei'îne","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00040","40","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","17.32917","-10.70857","WGS84","MR","Taghtâfet","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00041","41","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","17.26138","-10.69015","WGS84","MR","Jaraaziza","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00042","42","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","17.24986","-10.66761","WGS84","MR","Tâmchekket","Brito JC et al.2011;;Lluch, P. et al. 2004;Kirsch-Jung et al.2007"
"HumanObservation","urn:MRBIF:ENSN:OCN:00043","43","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","16.64037","-11.05618","WGS84","MR","MegtaesSfeira","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00044","44","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","16.60610","-11.05539","WGS84","MR","Gâdoum","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00045","45","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","16.54009","-10.80149","WGS84","MR","Bougâri","Brito JC et al.2011;Nickel, H. 2003"
