Sporbolus corommondelianus Kunth,Sporobolus coromandelianus (Retz.) Kunth,SPECIES,Poaceae,Sporobolus coromandelianus,81,FUZZY
Sporbolus helvolus ,Sporobolus helvolus (Trin.) T.Durand & Schinz,SPECIES,Poaceae,Sporobolus helvolus,86,FUZZY
Sporbolus robustus  Kunth,Sporobolus robustus Kunth,SPECIES,Poaceae,Sporobolus robustus,87,FUZZY
Sporbolus spispicatus  Kunth,,,,,100,NONE
Sporobolus robustus ,Sporobolus robustus Kunth,SPECIES,Poaceae,Sporobolus robustus,100,EXACT
Stipagrostis SP,Stipagrostis Nees,GENUS,Poaceae,Stipagrostis,96,EXACT
Stipagrostis aacutiflora ,Stipagrostis acutiflora (Trin. & Rupr.) De Winter,SPECIES,Poaceae,Stipagrostis acutiflora,93,FUZZY
Stipagrostis ciliaris (Desf) et Winter ,Stipagrostis Nees,GENUS,Poaceae,Stipagrostis,96,HIGHERRANK
Stipagrostis plumosa ,Stipagrostis plumosa Munro ex T.Anderson,SPECIES,Poaceae,Stipagrostis plumosa,100,EXACT
Stipagrostis plumosa (L) Munro ex T.Ander ,Stipagrostis plumosa Munro ex T.Anderson,SPECIES,Poaceae,Stipagrostis plumosa,100,EXACT
Stipagrostis pungens ,Stipagrostis pungens (Desf'.) De Winter,SPECIES,Poaceae,Stipagrostis pungens,100,EXACT
Stipagrostis pungens (Desf)et Winter ,Stipagrostis pungens (Desf'.) De Winter,SPECIES,Poaceae,Stipagrostis pungens,100,EXACT
Stipagrostis pungens Desf,Stipagrostis pungens (Desf'.) De Winter,SPECIES,Poaceae,Stipagrostis pungens,100,EXACT
Stipagrostis sp,,,,,100,NONE
Tetrapogon spathaceus  Hochst,Tetrapogon spathaceus (Hochst. ex Steud.) Hack. ex T.Durand & Schinz,SPECIES,Poaceae,Tetrapogon spathaceus,100,EXACT
Tragus racemosus (L) All,Tragus racemosus (L.) All.,SPECIES,Poaceae,Tragus racemosus,100,EXACT
Tragus sp ,,,,,100,NONE
Trichoneura mollis (Kunth),Trichoneura mollis Ekman,SPECIES,Limoniidae,Trichoneura mollis,100,EXACT
Triraphis pumilio R.BR,Triraphis pumilio R.Br.,SPECIES,Braconidae,Triraphis pumilio,100,EXACT
Tritiaim  aesstivum,,,,,100,NONE
Vetiveria nigritana ,Vetiveria nigritana (Benth.) Stapf,SPECIES,Poaceae,Vetiveria nigritana,100,EXACT
Wrochuloa truchopus Hochst ,,,,,100,NONE
