id,basisOfRecord,occurrenceid,scientificname,family,locality,countrycode,barcode,STATION,day,month,year,decimal_latitude,decimal_longitude
50523,preservedSpecimen,urn:mrbif:ens:hnm:50523,Acacia nilotica (L.) Willd. ex Del. var. nilotica,Leguminosae-Mimosoideae,KeurMacene,MR,HNM00363,Bell 1,15,5,2010,16.0922222,-16.4244444
50524,preservedSpecimen,urn:mrbif:ens:hnm:50524,Acacia nilotica (L.) Willd. ex Del. var. nilotica,Leguminosae-Mimosoideae,KeurMacene,MR,HNM00364,Bell 1,15,5,2010,16.0922222,-16.4244444
50525,preservedSpecimen,urn:mrbif:ens:hnm:50525,Acacia seyal Del.,Leguminosae-Mimosoideae,Selibabi,MR,HNM00365,Samakandé,3,12,2009,15.2363889,-12.1975
50526,preservedSpecimen,urn:mrbif:ens:hnm:50526,Ficus sp.,Moraceae,Selibabi,MR,HNM00366,Boutande,3,12,2009,14.9497222,-12.3547222
50527,preservedSpecimen,urn:mrbif:ens:hnm:50527,Ficus sp.,Moraceae,Selibabi,MR,HNM00367,Boutande,3,12,2009,14.9497222,-12.3547222
50528,preservedSpecimen,urn:mrbif:ens:hnm:50528,Ficus sycomorus Linn.,Moraceae,Ain Ehl Taya,MR,HNM00368,Oasis tergit,27,3,2010,20.2658333,13.0902778
50529,preservedSpecimen,urn:mrbif:ens:hnm:50529,Dichrostachys cinerea (L.) Wight & Arn.,Leguminosae-Mimosoideae,Moudji,MR,HNM00369,Oued,26,11,2007,15.0344444,-12.3002778
50530,preservedSpecimen,urn:mrbif:ens:hnm:50530,Dichrostachys cinerea (L.) Wight & Arn.,Leguminosae-Mimosoideae,Moudji,MR,HNM00370,Oued,26,11,2007,15.0344444,-12.3002778
50531,preservedSpecimen,urn:mrbif:ens:hnm:50531,Dichrostachys cinerea (L.) Wight & Arn.,Leguminosae-Mimosoideae,Moudji,MR,HNM00371,Oued,26,11,2007,15.0344444,-12.3002778
50532,preservedSpecimen,urn:mrbif:ens:hnm:50532,Acacia sieberiana DC.,Leguminosae-Mimosoideae,Moudji,MR,HNM00372,Oued,26,11,2007,15.0344444,-12.3002778
50533,preservedSpecimen,urn:mrbif:ens:hnm:50533,Acacia sieberiana DC.,Leguminosae-Mimosoideae,Moudji,MR,HNM00373,Oued,26,11,2007,15.0344444,-12.3002778
50534,preservedSpecimen,urn:mrbif:ens:hnm:50534,Acacia sieberiana DC.,Leguminosae-Mimosoideae,Moudji,MR,HNM00374,Oued,26,11,2007,15.0344444,-12.3002778
50535,preservedSpecimen,urn:mrbif:ens:hnm:50535,Acacia sieberiana DC.,Leguminosae-Mimosoideae,Moudji,MR,HNM00375,Oued,26,11,2007,15.0344444,-12.3002778
50536,preservedSpecimen,urn:mrbif:ens:hnm:50536,Acacia sieberiana DC.,Leguminosae-Mimosoideae,Moudji,MR,HNM00376,Oued,26,11,2007,15.0344444,-12.3002778
50537,preservedSpecimen,urn:mrbif:ens:hnm:50537,Acacia sieberiana DC.,Leguminosae-Mimosoideae,Sagne,MR,HNM00377,Sagné Dièri,25,11,2007,15.1247222,-12.72
50538,preservedSpecimen,urn:mrbif:ens:hnm:50538,Acacia sieberiana DC.,Leguminosae-Mimosoideae,Sagne,MR,HNM00378,Sagné Dièri,25,11,2007,15.1247222,-12.72
50539,preservedSpecimen,urn:mrbif:ens:hnm:50539,Acacia macrostachya Rchb. ex Benth.,Leguminosae-Mimosoideae,Selibabi,MR,HNM00379,Oued Moudji,26,11,2007,15.0344444,-12.3002778
50540,preservedSpecimen,urn:mrbif:ens:hnm:50540,Acacia macrostachya Rchb. ex Benth.,Leguminosae-Mimosoideae,Selibabi,MR,HNM00380,Oued Moudji,26,11,2007,15.0344444,-12.3002778
50541,preservedSpecimen,urn:mrbif:ens:hnm:50541,Acacia macrostachya Rchb. ex Benth.,Leguminosae-Mimosoideae,Selibabi,MR,HNM00381,Oued Moudji,26,11,2007,15.0344444,-12.3002778
50542,preservedSpecimen,urn:mrbif:ens:hnm:50542,Acacia macrostachya Rchb. ex Benth.,Leguminosae-Mimosoideae,Selibabi,MR,HNM00382,Oued Moudji,26,11,2007,15.0344444,-12.3002778
50543,preservedSpecimen,urn:mrbif:ens:hnm:50543,Neptunia oleracea Lour.,Leguminosae-Mimosoideae,Kankossa,MR,HNM00383,Bordure est mare kankossa,20,10,2009,15.9377778,-11.5247222
50544,preservedSpecimen,urn:mrbif:ens:hnm:50544,Neptunia oleracea Lour.,Leguminosae-Mimosoideae,Kankossa,MR,HNM00384,Bordure est mare kankossa,20,10,2009,15.9377778,-11.5247222
50545,preservedSpecimen,urn:mrbif:ens:hnm:50545,Acacia nilotica (Guill. & Perr.) Kuntze var. Adansonii,Leguminosae-Mimosoideae,Kankossa,MR,HNM00385,Jonction oued Nakhla - mare,20,10,2009,15.9025,-11.5513889
50546,preservedSpecimen,urn:mrbif:ens:hnm:50546,Acacia nilotica (Guill. & Perr.) Kuntze var. Adansonii,Leguminosae-Mimosoideae,Kankossa,MR,HNM00386,Jonction oued Nakhla - mare,20,10,2009,15.9025,-11.5513889
50547,preservedSpecimen,urn:mrbif:ens:hnm:50547,Acacia nilotica (Guill. & Perr.) Kuntze var. Adansonii,Leguminosae-Mimosoideae,Kankossa,MR,HNM00387,Jonction oued Nakhla - mare,20,10,2009,15.9025,-11.5513889
50548,preservedSpecimen,urn:mrbif:ens:hnm:50548,Acacia gourmaensis A. Chev.,Leguminosae-Mimosoideae,Kankossa,MR,HNM00388,bord de la mare,10,2009,<null>,15.9422222,-11.5241667
50549,preservedSpecimen,urn:mrbif:ens:hnm:50549,Acacia gourmaensis A. Chev.,Leguminosae-Mimosoideae,Kankossa,MR,HNM00389,bord de la mare,10,2009,<null>,15.9422222,-11.5241667
50550,preservedSpecimen,urn:mrbif:ens:hnm:50550,Acacia nilotica (Guill. & Perr.) Kuntze var. Adansonii,Leguminosae-Mimosoideae,Kankossa,MR,HNM00390,Bordure ouest de la mare,24,10,2009,15.9377778,-11.5247222
50551,preservedSpecimen,urn:mrbif:ens:hnm:50551,Acacia senegal (L.) Willd. var. Senegal,Leguminosae-Mimosoideae,Kankossa,MR,HNM00391,Jonction oued Nakhla - mare,20,10,2009,15895,-11.5344444
50552,preservedSpecimen,urn:mrbif:ens:hnm:50552,Acacia senegal (L.) Willd. var. Senegal,Leguminosae-Mimosoideae,Kankossa,MR,HNM00392,Jonction oued Nakhla - mare,20,10,2009,15895,-11.5344444
50553,preservedSpecimen,urn:mrbif:ens:hnm:50553,Mollugo nudicaulis Lam.,Molluginaceae,Twil,MR,HNM00393,Achweyiv,8,9,2007,15.6041667,-10.2041667
50554,preservedSpecimen,urn:mrbif:ens:hnm:50554,Ficus abutilifolia (Miq.) Miq.,Moraceae,Tektake,MR,HNM00394,Tektake,27,11,2007,15.5430556,-11.9491667
50555,preservedSpecimen,urn:mrbif:ens:hnm:50555,Ficus abutilifolia (Miq.) Miq.,Moraceae,Tektake,MR,HNM00395,Tektake,27,11,2007,15.5430556,-11.9491667
50556,preservedSpecimen,urn:mrbif:ens:hnm:50556,Ficus abutilifolia (Miq.) Miq.,Moraceae,Tektake,MR,HNM00396,Tektake,27,11,2007,15.5430556,-11.9491667
50557,preservedSpecimen,urn:mrbif:ens:hnm:50557,Ficus sycomorus Linn. subsp. gnaphalocarpa (Miq.) C.C.Berg,Moraceae,Tektake,MR,HNM00397,Tektake,28,11,2007,15.5430556,-11.9491667
50558,preservedSpecimen,urn:mrbif:ens:hnm:50558,Ficus sycomorus Linn. subsp. gnaphalocarpa (Miq.) C.C.Berg,Moraceae,Tektake,MR,HNM00398,Tektake,28,11,2007,15.5430556,-11.9491667
50559,preservedSpecimen,urn:mrbif:ens:hnm:50559,Ficus sycomorus Linn. subsp. gnaphalocarpa (Miq.) C.C.Berg,Moraceae,Effam Likhdheirat,MR,HNM00399,"passe Effam likhdeirat, sur le plateau",23,8,2008,16.5411111,-10.7952778
50560,preservedSpecimen,urn:mrbif:ens:hnm:50560,Ficus sycomorus Linn. subsp. gnaphalocarpa (Miq.) C.C.Berg,Moraceae,Effam Likhdheirat,MR,HNM00400,"passe Effam likhdeirat, sur le plateau",23,8,2008,16.5411111,-10.7952778
50561,preservedSpecimen,urn:mrbif:ens:hnm:50561,Ficus cordata Thunb. subsp. lecardii (Warb.) C.C.Berg,Moraceae,Tektake,MR,HNM00401,Tektake,27,11,2007,15.5430556,-11.9491667
50562,preservedSpecimen,urn:mrbif:ens:hnm:50562,Boerhavia diffusa L.,Nyctaginaceae,Kifa,MR,HNM00402,Tahmeira Sortie sud de kiffa sur la route de Kankossa,9,9,2008,16.5463889,-11.4025
50563,preservedSpecimen,urn:mrbif:ens:hnm:50563,Neurada procumbens L.,Chenopodiaceae,Atar,MR,HNM00403,Terwen,21,12,2009,20.5541667,-13.0408333
50564,preservedSpecimen,urn:mrbif:ens:hnm:50564,Neurada procumbens L.,Chenopodiaceae,Atar,MR,HNM00404,Terwen,21,12,2009,20.5541667,-13.0408333
50565,preservedSpecimen,urn:mrbif:ens:hnm:50565,Neurada procumbens L.,Chenopodiaceae,Atar,MR,HNM00405,Terwen,21,12,2009,20.5541667,-13.0408333
50566,preservedSpecimen,urn:mrbif:ens:hnm:50566,Boerhavia sp.,Nyctaginaceae,KeurMacene,MR,HNM00406,PND,24,11,2007,16.538477,-16.214909
50567,preservedSpecimen,urn:mrbif:ens:hnm:50567,Boerhavia sp.,Nyctaginaceae,KeurMacene,MR,HNM00407,PND,24,11,2007,16.538477,-16.214909
50568,preservedSpecimen,urn:mrbif:ens:hnm:50568,Boerhavia,Nyctaginaceae,Effam Likhdheirat,MR,HNM00408,"passe Effam likhdeirat, sur le plateau",23,8,2008,16.5194444,-16.7702778
50569,preservedSpecimen,urn:mrbif:ens:hnm:50569,Nymphaea lotus L.,Nymphaeaceae,Kankossa,MR,HNM00409,Bordure ouest Kankossa,20,10,2009,16.016667,-11.533333
50570,preservedSpecimen,urn:mrbif:ens:hnm:50570,Nymphaea lotus L.,Nymphaeaceae,Kankossa,MR,HNM00410,"agmamine 1, culture au bord de la mare",20,10,2009,15.8816667,-11.5483333
50571,preservedSpecimen,urn:mrbif:ens:hnm:50571,Nymphaea lotus L.,Nymphaeaceae,KeurMacene,MR,HNM00411,keur Macène,26,11,2007,16.538477,-16.214909
50572,preservedSpecimen,urn:mrbif:ens:hnm:50572,Nymphaea lotus L.,Nymphaeaceae,Nbeika,MR,HNM00412,Tamourt En Naaj,28,11,2007,17.904167,-12.271944
50573,preservedSpecimen,urn:mrbif:ens:hnm:50573,Nymphaea lotus L.,Nymphaeaceae,Nbeika,MR,HNM00413,Tamourt En Naaj,28,11,2007,17.904167,-12.271944
50574,preservedSpecimen,urn:mrbif:ens:hnm:50574,Nymphaea lotus L.,Nymphaeaceae,Nbeika,MR,HNM00414,Tamourt En Naaj,28,11,2007,17.904167,-12.271944
50575,preservedSpecimen,urn:mrbif:ens:hnm:50575,Ludwigia octovalis (Jacq.) Raven,Onagraceae,Bouli,MR,HNM00415,Bouli,27,11,2007,15.3122222,-11.8013889
50576,preservedSpecimen,urn:mrbif:ens:hnm:50576,Ludwigia octovalis (Jacq.) Raven,Onagraceae,Bouli,MR,HNM00416,Bouli,27,11,2007,15.3122222,-11.8013889
50577,preservedSpecimen,urn:mrbif:ens:hnm:50577,Hyphaene thebaica (L.) Mart.,Palmae,Kankossa,MR,HNM00417,Oued Kmach,21,10,2009,15.9172222,-11.3966667
50578,preservedSpecimen,urn:mrbif:ens:hnm:50578,Sesamum alatum Thonn.,Pedaliaceae,Atar,MR,HNM00418,Terwen,21,12,2009,20.5541667,-13.0408333
50579,preservedSpecimen,urn:mrbif:ens:hnm:50579,Sesamum alatum Thonn.,Pedaliaceae,Atar,MR,HNM00419,Terwen,21,12,2009,20.5541667,-13.0408333
50580,preservedSpecimen,urn:mrbif:ens:hnm:50580,Sesamum alatum Thonn.,Pedaliaceae,Atar,MR,HNM00420,Terwen,21,12,2009,20.5541667,-13.0408333
50581,preservedSpecimen,urn:mrbif:ens:hnm:50581,Centropodia forskalii (Vahl) T. A. Cope,Gramineae,Atar,MR,HNM00421,au bas de la passe de N'tarazi,23,11,2009,20.5594444,-13.1036111
50582,preservedSpecimen,urn:mrbif:ens:hnm:50582,Centropodia forskalii (Vahl) T. A. Cope,Gramineae,Atar,MR,HNM00422,au bas de la passe de N'tarazi,23,11,2009,20.5594444,-13.1036111
50583,preservedSpecimen,urn:mrbif:ens:hnm:50583,Centropodia forskalii (Vahl) T. A. Cope,Gramineae,Atar,MR,HNM00423,au bas de la passe de N'tarazi,23,11,2009,20.5594444,-13.1036111
50584,preservedSpecimen,urn:mrbif:ens:hnm:50584,Aristida,Gramineae,Zoueirat,MR,HNM00424,Limhouedat,18,12,2009,22.8141667,-12.3669444
50585,preservedSpecimen,urn:mrbif:ens:hnm:50585,Aristida,Gramineae,Zoueirat,MR,HNM00425,Limhouedat,18,12,2009,22.8141667,-12.3669444
50586,preservedSpecimen,urn:mrbif:ens:hnm:50586,Aristida,Gramineae,Zoueirat,MR,HNM00426,Limhouedat,18,12,2009,22.8141667,-12.3669444
50587,preservedSpecimen,urn:mrbif:ens:hnm:50587,Aristida,Gramineae,Zoueirat,MR,HNM00427,Limhouedat,18,12,2009,22.8141667,-12.3669444
50588,preservedSpecimen,urn:mrbif:ens:hnm:50588,Aristida,Gramineae,Zoueirat,MR,HNM00428,Limhouedat,18,12,2009,22.8141667,-12.3669444
50589,preservedSpecimen,urn:mrbif:ens:hnm:50589,Dichanthium foveolatum (Del.) Roberty,Gramineae,Atar,MR,HNM00429,Terwen,21,12,2009,20.5541667,-13.0408333
50590,preservedSpecimen,urn:mrbif:ens:hnm:50590,Dichanthium foveolatum (Del.) Roberty,Gramineae,Atar,MR,HNM00430,Terwen,21,12,2009,20.5541667,-13.0408333
50591,preservedSpecimen,urn:mrbif:ens:hnm:50591,Dichanthium foveolatum (Del.) Roberty,Gramineae,Atar,MR,HNM00431,Terwen,21,12,2009,20.5541667,-13.0408333
50592,preservedSpecimen,urn:mrbif:ens:hnm:50592,Panicum turgidum Forsk.,Gramineae,Zoueirat,MR,HNM00432,Ouest de Zouerate,19,12,2009,22.7538889,-12.5155556
50593,preservedSpecimen,urn:mrbif:ens:hnm:50593,Panicum turgidum Forsk.,Gramineae,Zoueirat,MR,HNM00433,Ouest de Zouerate,19,12,2009,22.7538889,-12.5155556
50594,preservedSpecimen,urn:mrbif:ens:hnm:50594,Panicum turgidum Forsk.,Gramineae,Zoueirat,MR,HNM00434,Ouest de Zouerate,19,12,2009,22.7538889,-12.5155556
50595,preservedSpecimen,urn:mrbif:ens:hnm:50595,Sorghum arundinaceum (Desv.) Stapf,Gramineae,Kankossa,MR,HNM00435,agmamine 1,20,10,2009,15.8813889,-11.5483333
50596,preservedSpecimen,urn:mrbif:ens:hnm:50596,Triticum aestivum L.,Gramineae,Kankossa,MR,HNM00436,agmamine bord sud mare Kankossa,17,10,2009,15.8813889,-11.5483333
50597,preservedSpecimen,urn:mrbif:ens:hnm:50597,Triticum aestivum L.,Gramineae,Kankossa,MR,HNM00437,agmamine bord sud mare Kankossa,17,10,2009,15.8813889,-11.5483333
50598,preservedSpecimen,urn:mrbif:ens:hnm:50598,Leptochloa malabarica (L.) Veldkamp,Gramineae,Kankossa,MR,HNM00438,agmamine 1,17,10,2009,15.9377778,-11.5913889
50599,preservedSpecimen,urn:mrbif:ens:hnm:50599,Oryza barthii A. Chev.,Gramineae,Kankossa,MR,HNM00439,agmamine 1,17,10,2009,15.9394444,-11.5227778
50600,preservedSpecimen,urn:mrbif:ens:hnm:50600,Cenchrus biflorus Roxb.,Gramineae,Kankossa,MR,HNM00440,agmamine 1,17,10,2009,15.8702778,-11.5483333
50601,preservedSpecimen,urn:mrbif:ens:hnm:50601,Sorghum arundinaceum (Desv.) Stapf,Gramineae,Kankossa,MR,HNM00441,agmamine 1,20,10,2009,15.8816667,-11.5483333
50602,preservedSpecimen,urn:mrbif:ens:hnm:50602,Vetiveria nigritana (Benth.) Stapf,Gramineae,Moudji,MR,HNM00442,Oued,26,11,2007,15.0344444,-12.1336111
50603,preservedSpecimen,urn:mrbif:ens:hnm:50603,Vetiveria nigritana (Benth.) Stapf,Gramineae,Moudji,MR,HNM00443,Oued,26,11,2007,15.0344444,-12.1336111
50604,preservedSpecimen,urn:mrbif:ens:hnm:50604,Indéterminé : indéterminée,Indéterminé,Guidimaka,MR,HNM00444,Ammague,27,11,2007,15.2211111,-11.8547222
50605,preservedSpecimen,urn:mrbif:ens:hnm:50605,Indéterminé : indéterminée,Indéterminé,Guidimaka,MR,HNM00445,Ammague,27,11,2007,15.2211111,-11.8547222
50606,preservedSpecimen,urn:mrbif:ens:hnm:50606,Indéterminé : indéterminée,Indéterminé,Guidimaka,MR,HNM00446,Ammague,27,11,2007,15.2211111,-11.8547222
50607,preservedSpecimen,urn:mrbif:ens:hnm:50607,Indéterminé : indéterminée,Indéterminé,Guidimaka,MR,HNM00447,Ammague,27,11,2007,15.2211111,-11.8547222
50608,preservedSpecimen,urn:mrbif:ens:hnm:50608,Indéterminé : indéterminée,Indéterminé,Guidimaka,MR,HNM00448,Ammague,27,11,2007,15.2211111,-11.8547222
50609,preservedSpecimen,urn:mrbif:ens:hnm:50609,Indéterminé : indéterminée,Indéterminé,Guidimaka,MR,HNM00449,Ammague,27,11,2007,15.2161111,-11.8733333
50610,preservedSpecimen,urn:mrbif:ens:hnm:50610,Indéterminé : indéterminée,Indéterminé,Guidimaka,MR,HNM00450,Ammague,27,11,2007,15.2161111,-11.8733333
50611,preservedSpecimen,urn:mrbif:ens:hnm:50611,Indéterminé : indéterminée,Indéterminé,Guidimaka,MR,HNM00451,Ammague,27,11,2007,15.2161111,-11.8733333
50612,preservedSpecimen,urn:mrbif:ens:hnm:50612,Indéterminé : indéterminée,Indéterminé,Guidimaka,MR,HNM00452,Ammague,27,11,2007,15.2161111,-11.8733333
50613,preservedSpecimen,urn:mrbif:ens:hnm:50613,Indéterminé : indéterminée,Indéterminé,Bouli,MR,HNM00453,Bouli,27,11,2007,15.3122222,-11.8013889
50614,preservedSpecimen,urn:mrbif:ens:hnm:50614,Indéterminé : indéterminée,Indéterminé,Bouli,MR,HNM00454,Bouli,27,11,2007,15.3122222,-11.8013889
50615,preservedSpecimen,urn:mrbif:ens:hnm:50615,Indéterminé : indéterminée,Indéterminé,Bouli,MR,HNM00455,Bouli,27,11,2007,15.3122222,-11.8013889
50616,preservedSpecimen,urn:mrbif:ens:hnm:50616,Andropogon gayanus Kunth,Gramineae,Tektake,MR,HNM00456,Tektake,28,11,2007,15.5430556,-11.9491667
50617,preservedSpecimen,urn:mrbif:ens:hnm:50617,Andropogon gayanus Kunth,Gramineae,Tektake,MR,HNM00457,Tektake,28,11,2007,15.5430556,-11.9491667
50618,preservedSpecimen,urn:mrbif:ens:hnm:50618,Andropogon gayanus Kunth,Gramineae,Tektake,MR,HNM00458,Tektake,28,11,2007,15.5430556,-11.9491667
50619,preservedSpecimen,urn:mrbif:ens:hnm:50619,Andropogon gayanus Kunth,Gramineae,Tektake,MR,HNM00459,Tektake,28,11,2007,15.5430556,-11.9491667
50620,preservedSpecimen,urn:mrbif:ens:hnm:50620,Andropogon gayanus Kunth,Gramineae,Tektake,MR,HNM00460,Tektake,28,11,2007,15.5430556,-11.9491667
50621,preservedSpecimen,urn:mrbif:ens:hnm:50621,Andropogon gayanus Kunth,Gramineae,Tektake,MR,HNM00461,Tektake,28,11,2007,15.5430556,-11.9491667
50622,preservedSpecimen,urn:mrbif:ens:hnm:50622,Indéterminé : indéterminée,Indéterminé,Tektake,MR,HNM00462,Tektake,28,11,2007,15.5430556,-11.9491667
50623,preservedSpecimen,urn:mrbif:ens:hnm:50623,Indéterminé : indéterminée,Indéterminé,Tektake,MR,HNM00463,Tektake,28,11,2007,15.5430556,-11.9491667
50624,preservedSpecimen,urn:mrbif:ens:hnm:50624,Indéterminé : indéterminée,Indéterminé,Tektake,MR,HNM00464,Tektake,28,11,2007,15.5430556,-11.9491667
50625,preservedSpecimen,urn:mrbif:ens:hnm:50625,Andropogon gayanus Kunth,Gramineae,Guidimaka,MR,HNM00465,Ammague,27,11,2007,15.2161111,-11.8733333
50626,preservedSpecimen,urn:mrbif:ens:hnm:50626,Andropogon gayanus Kunth,Gramineae,Guidimaka,MR,HNM00466,Ammague,27,11,2007,15.2161111,-11.8733333
50627,preservedSpecimen,urn:mrbif:ens:hnm:50627,Pennisetum sp.,Gramineae,Kankossa,MR,HNM00467,Oued Kmach,21,10,2009,15.9166667,-11.3911111
50628,preservedSpecimen,urn:mrbif:ens:hnm:50628,Echinochloa colona (L.) Link,Gramineae,Nbeika,MR,HNM00468,Vers Ntitane(Guebbou),27,11,2007,17.904167,-12.271944
50629,preservedSpecimen,urn:mrbif:ens:hnm:50629,Cymbopogon schoenanthus (L.) Spreng.,Gramineae,Nbeika,MR,HNM00469,Vers Ntitane(Guebbou),27,11,2007,17.904167,-12.271944
50630,preservedSpecimen,urn:mrbif:ens:hnm:50630,Cymbopogon schoenanthus (L.) Spreng.,Gramineae,Nbeika,MR,HNM00470,Vers Ntitane(Guebbou),27,11,2007,17.904167,-12.271944
50631,preservedSpecimen,urn:mrbif:ens:hnm:50631,Cymbopogon schoenanthus (L.) Spreng.,Gramineae,Nbeika,MR,HNM00471,Vers Ntitane(Guebbou),27,11,2007,17.904167,-12.271944
50632,preservedSpecimen,urn:mrbif:ens:hnm:50632,Indéterminé : indéterminée,Indéterminé,Toulel,MR,HNM00472,Diacre,25,11,2007,15.4163889,12.8661111
50633,preservedSpecimen,urn:mrbif:ens:hnm:50633,Indéterminé : indéterminée,Indéterminé,Toulel,MR,HNM00473,Diacre,25,11,2007,15.4163889,12.8661111
50634,preservedSpecimen,urn:mrbif:ens:hnm:50634,Echinochloa stagnina (Retz.) P. Beauv.,Gramineae,Nbeika,MR,HNM00474,Tamourt En Naaj,28,11,2007,17.904167,-12.271944
50635,preservedSpecimen,urn:mrbif:ens:hnm:50635,Echinochloa stagnina (Retz.) P. Beauv.,Gramineae,Nbeika,MR,HNM00475,Tamourt En Naaj,28,11,2007,17.904167,-12.271944
50636,preservedSpecimen,urn:mrbif:ens:hnm:50636,Echinochloa stagnina (Retz.) P. Beauv.,Gramineae,Nbeika,MR,HNM00476,Tamourt En Naaj,28,11,2007,17.904167,-12.271944
50637,preservedSpecimen,urn:mrbif:ens:hnm:50637,Eragrostis tremula Hochst.,Gramineae,<null>,MR,HNM00477,PND,<null>,<null>,<null>,<null>,<null>
50638,preservedSpecimen,urn:mrbif:ens:hnm:50638,Eragrostis tremula Hochst.,Gramineae,<null>,MR,HNM00478,PND,<null>,<null>,<null>,<null>,<null>
50639,preservedSpecimen,urn:mrbif:ens:hnm:50639,Latipes senegalensis Kunth,Gramineae,<null>,MR,HNM00479,Entre egjert et Aïoun,<null>,<null>,<null>,16.6286111,-9.4408333
50640,preservedSpecimen,urn:mrbif:ens:hnm:50640,Pennisetum,Gramineae,Effam Likhdheirat,MR,HNM00480,"passe Effam likhdeirat, sur le plateau",<null>,<null>,<null>,16.5411111,10.7952778
50641,preservedSpecimen,urn:mrbif:ens:hnm:50641,Oryza barthii A. Chev.,Gramineae,Toulel,MR,HNM00481,Mare,25,11,2007,15.2597222,-12.7994444
50642,preservedSpecimen,urn:mrbif:ens:hnm:50642,Oryza barthii A. Chev.,Gramineae,Toulel,MR,HNM00482,Mare,25,11,2007,15.2597222,-12.7994444
50643,preservedSpecimen,urn:mrbif:ens:hnm:50643,Oryza barthii A. Chev.,Gramineae,Toulel,MR,HNM00483,Mare,25,11,2007,15.2597222,-12.7994444
50644,preservedSpecimen,urn:mrbif:ens:hnm:50644,Oryza barthii A. Chev.,Gramineae,Toulel,MR,HNM00484,Mare,25,11,2007,15.2597222,-12.7994444
50645,preservedSpecimen,urn:mrbif:ens:hnm:50645,Indéterminé : indéterminée,Indéterminé,Twil,MR,HNM00485,Achweyiv,8,9,2007,15.6041667,10.2041667
50646,preservedSpecimen,urn:mrbif:ens:hnm:50646,Indéterminé : indéterminée,Indéterminé,Twil,MR,HNM00486,Achweyiv,8,9,2007,15.6041667,10.2041667
50647,preservedSpecimen,urn:mrbif:ens:hnm:50647,Eragrostis sp.,Gramineae,Twil,MR,HNM00487,Achweyiv,8,9,2007,15.6041667,-10.2041667
50648,preservedSpecimen,urn:mrbif:ens:hnm:50648,Aristida sp.,Gramineae,Twil,MR,HNM00488,Achweyiv,8,9,2007,15.6041667,-10.2041667
50649,preservedSpecimen,urn:mrbif:ens:hnm:50649,Aristida sp.,Gramineae,Twil,MR,HNM00489,Achweyiv,8,9,2007,15.6041667,-10.2041667
50650,preservedSpecimen,urn:mrbif:ens:hnm:50650,Aristida sp.,Gramineae,Twil,MR,HNM00490,Achweyiv,8,9,2007,15.6041667,-10.2041667
50651,preservedSpecimen,urn:mrbif:ens:hnm:50651,Indéterminé : indéterminée,Indéterminé,Twil,MR,HNM00491,Achweyiv,8,9,2007,15.6041667,-10.2041667
50652,preservedSpecimen,urn:mrbif:ens:hnm:50652,Echinochloa colona (L.) Link,Gramineae,<null>,MR,HNM00492,chelkha,7,9,2007,15.6958333,-10.0380556
50653,preservedSpecimen,urn:mrbif:ens:hnm:50653,Echinochloa colona (L.) Link,Gramineae,<null>,MR,HNM00493,chelkha,7,9,2007,15.6958333,-10.0380556
50654,preservedSpecimen,urn:mrbif:ens:hnm:50654,Brachiaria sp.,Gramineae,Tintane,MR,HNM00494,chelkha El Beyidh,7,9,2007,15.6958333,-10.0380556
50655,preservedSpecimen,urn:mrbif:ens:hnm:50655,Brachiaria sp.,Gramineae,Tintane,MR,HNM00495,chelkha El Beyidh,7,9,2007,15.6958333,-10.0380556
50656,preservedSpecimen,urn:mrbif:ens:hnm:50656,Digitaria ciliaris (Retz.) Koel.,Gramineae,Tintane,MR,HNM00496,chelkha El Beyidh,7,9,2007,15.6958333,-10.0380556
50657,preservedSpecimen,urn:mrbif:ens:hnm:50657,Digitaria ciliaris (Retz.) Koel.,Gramineae,Tintane,MR,HNM00497,chelkha El Beyidh,7,9,2007,15.6958333,-10.0380556
50658,preservedSpecimen,urn:mrbif:ens:hnm:50658,Cenchrus biflorus Roxb.,Gramineae,Mederdra,MR,HNM00498,Taguilalet,20,9,2008,16.896389,-15.756111
50659,preservedSpecimen,urn:mrbif:ens:hnm:50659,Indéterminé : indéterminée,Indéterminé,Effam Likhdheirat,MR,HNM00499,Tamourt Bougari,23,8,2008,16.5411111,-10.7952778
50660,preservedSpecimen,urn:mrbif:ens:hnm:50660,Cenchrus,Gramineae,Egjert,MR,HNM00500,Depression dunaire,23,8,2008,16.6286111,-9.4408333
50661,preservedSpecimen,urn:mrbif:ens:hnm:50661,Panicum turgidum Forsk.,Gramineae,Egjert,MR,HNM00501,Entre egjert et Aïoun,23,8,2008,16.6286111,-9.4408333
50662,preservedSpecimen,urn:mrbif:ens:hnm:50662,Cenchrus,Gramineae,Egjert,MR,HNM00502,Entre egjert et Aïoun,23,8,2008,16.6286111,-9.4408333
50663,preservedSpecimen,urn:mrbif:ens:hnm:50663,Pennisetum sp.,Gramineae,Kankossa,MR,HNM00503,Oued Kmach,21,10,2009,15.9166667,-11.3911111
50664,preservedSpecimen,urn:mrbif:ens:hnm:50664,Polygala sp.,Polygalaceae,Kankossa,MR,HNM00504,bord de la mare (Sed Amoure),20,10,2009,16.016667,-11.533333
50665,preservedSpecimen,urn:mrbif:ens:hnm:50665,Ziziphus amphibia A. Chev.,Rhamnaceae,Maghama,MR,HNM00505,Oualo,25,11,2007,15.5152778,-12.8594444
