id,basisOfRecord,occurrenceid,scientificname,family,locality,countrycode,barcode,STATION,day,month,year,decimal_latitude,decimal_longitude
51709,preservedSpecimen,urn:mrbif:ens:hnm:51709,Piliostigma reticulatum (DC.) Hochst.,Leguminosae-Caesalpinioideae,<null>,MR,HNM01549,El Ghaïre,20,12,1989,<null>,<null>
51710,preservedSpecimen,urn:mrbif:ens:hnm:51710,Bauhinia rufescens Lam.,Leguminosae-Caesalpinioideae,<null>,MR,HNM01550,Lekhdheyratt,7,1,1989,<null>,<null>
51711,preservedSpecimen,urn:mrbif:ens:hnm:51711,Tamarindus indica L.,Leguminosae-Caesalpinioideae,Sabou-Cire,MR,HNM01551,Sabou-Ciré,<null>,<null>,<null>,14.8172945725349,-12.0587270045409
51712,preservedSpecimen,urn:mrbif:ens:hnm:51712,Cassia tora L.,Leguminosae-Caesalpinioideae,Maghama,MR,HNM01552,Maghama-Foum Gleita,19,11,1992,15.5091528104622,-12.8500550302222
51713,preservedSpecimen,urn:mrbif:ens:hnm:51713,Ocimum basilicum L.,Labiatae,Sani,MR,HNM01553,Sani (environ 20 km au nord ouest de Kankossa),22,11,1992,16.066667,-11.55
51714,preservedSpecimen,urn:mrbif:ens:hnm:51714,Cassia occidentalis L.,Leguminosae-Caesalpinioideae,Tintane,MR,HNM01554,Tintane,22,12,1989,18.133333,-12.35
51715,preservedSpecimen,urn:mrbif:ens:hnm:51715,Tamarindus indica L.,Leguminosae-Caesalpinioideae,Kaedi,MR,HNM01555,Environ 37 km kaedi-maghama (Village Dindi),18,11,1992,16.1465300637225,-13.5047391609149
51716,preservedSpecimen,urn:mrbif:ens:hnm:51716,Piliostigma reticulatum (DC.) Hochst.,Leguminosae-Caesalpinioideae,<null>,MR,HNM01556,El Ghaïre,10,1,1989,<null>,<null>
51717,preservedSpecimen,urn:mrbif:ens:hnm:51717,Piliostigma reticulatum (DC.) Hochst.,Leguminosae-Caesalpinioideae,Kaedi,MR,HNM01557,Environ 21 km kaedi-maghama,18,11,1992,16.1465300637225,-13.5047391609149
51718,preservedSpecimen,urn:mrbif:ens:hnm:51718,Bauhinia rufescens Lam.,Leguminosae-Caesalpinioideae,<null>,MR,HNM01558,Lekhdheyratt,22,12,1989,<null>,<null>
51719,preservedSpecimen,urn:mrbif:ens:hnm:51719,Bauhinia rufescens Lam.,Leguminosae-Caesalpinioideae,<null>,MR,HNM01559,<null>,<null>,<null>,<null>,<null>,<null>
51720,preservedSpecimen,urn:mrbif:ens:hnm:51720,Bauhinia rufescens Lam.,Leguminosae-Caesalpinioideae,Kiffa,MR,HNM01560,kiffa,21,12,1989,16.549444,-11.409167
