49,Gazella rufifrons,Gray,1846,Gazelle à front roux,"Gazella rufifrons Gray, 1846",SPECIES,Bovidae,Gazella rufifrons,100,EXACT
50,Ammotragus lervia,Pallas,1777,Mouflon à manchettes,"Ammotragus lervia (Pallas, 1777)",SPECIES,Bovidae,Ammotragus lervia,100,EXACT
51,Bos taurus indicus,Linnaeus ,1758,Zébu,"Bos taurus Linnaeus, 1758",SPECIES,Bovidae,Bos taurus,100,EXACT
52,Ovis aries,Linnaeus ,1758,Mouton,"Ovis aries Linnaeus, 1758",SPECIES,Bovidae,Ovis aries,100,EXACT
53,Capra hircus,Linnaeus ,1758,Chèvre,"Capra hircus Linnaeus, 1758",SPECIES,Bovidae,Capra hircus,100,EXACT
54,Equus caballus,Linnaeus ,1758,Cheval,"Equus caballus Linnaeus, 1758",SPECIES,Equidae,Equus caballus,100,EXACT
55,Equus asinus,Linnaeus ,1758,Ane,"Equus asinus Linnaeus, 1758",SPECIES,Equidae,Equus asinus,100,EXACT
56,Camelus dromedarius,Linnaeus ,1758,Dromadaire,"Camelus dromedarius Linnaeus, 1758",SPECIES,Camelidae,Camelus dromedarius,100,EXACT
57,Papio papio,Desmarest,1820,Babouin de Guinée,"Papio papio Desmarest, 1820",SPECIES,Cercopithecidae,Papio papio,100,EXACT
58,Erythrocebus patas,Schreber,1775,Patas,"Erythrocebus patas (Schreber, 1775)",SPECIES,Cercopithecidae,Erythrocebus patas,100,EXACT
59,Lepus capensis,Linnaeus ,1758,Lièvre du Cap,"Lepus capensis Linnaeus, 1758",SPECIES,Leporidae,Lepus capensis,100,EXACT
60,Lepus saxatilis,Cuvier,1823,Lièvre des rochers,"Lepus saxatilis F. Cuvier, 1823",SPECIES,Leporidae,Lepus saxatilis,100,EXACT
61,Xerus erythropus,Desmarest,1817,Écureuil fouisseur,"Xerus erythropus (Desmarest, 1817)",SPECIES,Sciuridae,Xerus erythropus,100,EXACT
62,Felovia vae,Lataste,1886,Goundi de Félou,"Felovia vae Lataste, 1886",SPECIES,Ctenodactylidae,Felovia vae,100,EXACT
63,Hystrix cristata,Linnaeus ,1758,Porc-épic à crête,"Hystrix cristata Linnaeus, 1758",SPECIES,Hystricidae,Hystrix cristata,100,EXACT
