Fabaceae,Caesalpinia ,Caesalpinia benthamiana ,Baill.,Caesalpinia benthamiana (Baill.) Herend. & Zarucchi,SPECIES,Fabaceae,Caesalpinia benthamiana,100,EXACT
Fabaceae,Caesalpinia ,Caesalpinia bonduc ,(L.) Roxb.,Caesalpinia bonduc (L.) Roxb.,SPECIES,Fabaceae,Caesalpinia bonduc,100,EXACT
Fabaceae,Caesalpinia ,Caesalpinia pulcherrima ,(L.) Sw.,Caesalpinia pulcherrima (L.) Sw.,SPECIES,Fabaceae,Caesalpinia pulcherrima,100,EXACT
Fabaceae,Cajanus ,Cajanus cajan ,(L.) Millsp.,Cajanus cajan (L.) Millsp.,SPECIES,Fabaceae,Cajanus cajan,100,EXACT
Fabaceae,Calliandra,Calliandra portoricensis ,(Jacq.)Benth.,Calliandra portoricensis (Jacq.) Benth.,SPECIES,Fabaceae,Calliandra portoricensis,100,EXACT
Fabaceae,Calopogonium,Calopogonium muconoides ,Desv.,Calopogonium mucunoides Desv.,SPECIES,Fabaceae,Calopogonium mucunoides,95,FUZZY
Fabaceae,Canavalia,Canavalia ensiformis ,(L.) DC.,Canavalia ensiformis (L.) DC.,SPECIES,Fabaceae,Canavalia ensiformis,100,EXACT
Fabaceae,Canavalia,Canavalia rosea ,(Sw.) DC.,Canavalia rosea (Sw.) DC.,SPECIES,Fabaceae,Canavalia rosea,100,EXACT
Fabaceae,Canavalia,Canavalia virosa ,(Roxb.) Wight & Arn.,Canavalia virosa (Roxb.) Wight & Arn.,SPECIES,Fabaceae,Canavalia virosa,100,EXACT
Fabaceae,Cassia ,Cassia fistula ,L.,Cassia fistula L.,SPECIES,Fabaceae,Cassia fistula,100,EXACT
Fabaceae,Cassia ,Cassia hirsuta,L.,Cassia hirsuta L.,SPECIES,Fabaceae,Cassia hirsuta,100,EXACT
Fabaceae,Cassia ,Cassia laevigata ,Willd.,"Cassia laevigata sensu Prain, non Willd.",SPECIES,Fabaceae,Cassia laevigata,100,EXACT
Fabaceae,Cassia ,Cassia podocarpa ,Guill. & Perr.,Cassia podocarpa Guill. & Perr.,SPECIES,Fabaceae,Cassia podocarpa,100,EXACT
Fabaceae,Cassia ,Cassia senna ,L.,Cassia senna L.,SPECIES,Fabaceae,Cassia senna,100,EXACT
Fabaceae,Cassia ,Cassia sieberiana ,DC.,Cassia sieberiana DC.,SPECIES,Fabaceae,Cassia sieberiana,100,EXACT
Fabaceae,Cassia ,Cassia sophera ,L.,Cassia sophera L.,SPECIES,Fabaceae,Cassia sophera,99,EXACT
Fabaceae,Cathormion,Cathormion altissimum, (Hook.f.) Hutch. & Dandy,Cathormion altissimum (Hook.f.) Hutch. & Dandy,SPECIES,Asteraceae,Cathormion altissimum,100,EXACT
Fabaceae,Centrosema ,Centrosema pubescens, Benth.,Centrosema pubescens Benth.,SPECIES,Fabaceae,Centrosema pubescens,100,EXACT
