Famille	Genres	name	Auteurs déterminateurs
Fabaceae	Ophrestia	Ophrestia hedysaroides 	(Willd.) Verdc.
Fabaceae	Ormocarpum 	Ormocarpum bibracteatum 	(Hochst. ex. A.Rich.) Bak.
Fabaceae	Ormocarpum 	Ormocarpum sennoides 	(Willd.) DC.
Fabaceae	Ormocarpum 	Ormocarpum sennoides (Willd.) DC. subsp. hispidum 	(Willd.) Brenan & J.Léonard
Fabaceae	Parkia	Parkia clappertoniana 	Keay
Fabaceae	Parkia	Parkia filicoidea 	Welw. ex Oliv.
Fabaceae	Parkinsonia	Parkinsonia aculeata 	L.
Fabaceae	Peltophorum	Peltophorum ferrugineum 	(Decne.) Benth.
Fabaceae	Pentaclethra	Pentaclethra macrophylla 	Benth.
Fabaceae	Pericopsis	Pericopsis laxiflora 	(Benth.) Meeuwen
Fabaceae	Phaseolus	Phaseolus adenanthus 	G.Mey.
Fabaceae	Phaseolus	Phaseolus lunatus 	L.
Fabaceae	Piliostigma	Piliostigma reticulatum 	(DC) Hochst.
Fabaceae	Piliostigma	Piliostigma thonningii 	(Schum.) Milne-Redh.
Fabaceae	Piptadeniastrum	Piptadeniastrum africanum 	(Hook. f.) Brenan
Fabaceae	Pithecellobium 	Pithecellobium dulce 	Benth.
Fabaceae	Prosopis	Prosopis juliflora 	DC.
Fabaceae	Prosopis 	Prosopis africana 	(Guill. & Perr.) Taub.
Fabaceae	Pseudarthria	Pseudarthria confertiflora 	(A. Rich.) Bak.
Fabaceae	Pseudarthria	Pseudarthria hookeri 	Wight & Arn.
Fabaceae	Pseudoeriosema	Pseudoeriosema andongense 	(Welw. ex Baker) Hauman
Fabaceae	Pseudovigna	Pseudovigna argentea 	(Willd.) Verdc.
Fabaceae	Pseudovigna	Pseudovigna puerarioides 	Ern
Fabaceae	Psophocarpus	Psophocarpus palustris 	Desv.
Fabaceae	Pterocarpus	Pterocarpus lucens	Lepr. ex Guill. & Perrott.
Fabaceae	Pterocarpus 	Pterocarpus erinaceus 	Poir.
Fabaceae	Pterocarpus 	Pterocarpus mildbraedii 	Harms
Fabaceae	Pterocarpus 	Pterocarpus santalinoides 	L'Hér. ex DC.
Fabaceae	Pueraria	Pueraria phaseoloides 	(Roxb.) Benth.
Fabaceae	Rhynchosia	Rhynchosia violacea 	(Hiern) K.Schum
Fabaceae	Rhynchosia	Rhynchosia buettneri 	Harms
Fabaceae	Rhynchosia	Rhynchosia densiflora (Roth) DC. subsp. debilis 	(G. Don) Verdc.
Fabaceae	Rhynchosia	Rhynchosia densiflora.	 (Roth.) DC
Fabaceae	Rhynchosia	Rhynchosia hirta 	(Andr.) Meikle & Verdc.
Fabaceae	Rhynchosia	Rhynchosia minima (L.) DC. var. prostrata 	(Harv.) Meikle
Fabaceae	Rhynchosia	Rhynchosia nyasica 	Bak.
Fabaceae	Rhynchosia	Rhynchosia pycnostachya 	(DC.) Meikle
Fabaceae	Rhynchosia	Rhynchosia sublobata 	(Schum. & Thonn.) Meikle
Fabaceae	Rhynchosia	Rhynchosia viscosa (Roth) DC. subsp. violacea 	(Hiern) Verdc.
Fabaceae	Samanea 	Samanea saman 	(Jacq.) Merrill
Fabaceae	Schrankia	Schrankia leptocarpa	 DC.
Fabaceae	Senna 	Senna hirsuta	 (L.) Irwin & Barneby
Fabaceae	Senna 	Senna obtusifolia 	 (L.) Irwin & Barneby
Fabaceae	Senna 	Senna occidentalis 	(L.) Link
