,Scolopaciddae,Calidris ferruginea,,"Calidris ferruginea (Pontoppidan, 1763)",SPECIES,Scolopacidae,Calidris ferruginea,100,EXACT
,Scolopaciddae,Calidris minuta,,"Calidris minuta (Leisler, 1812)",SPECIES,Scolopacidae,Calidris minuta,100,EXACT
,Scolopaciddae,Calidris alba,,"Calidris alba (Pallas, 1764)",SPECIES,Scolopacidae,Calidris alba,100,EXACT
,Scolopaciddae,Calidris temminckii,,"Calidris temminckii (Leisler, 1812)",SPECIES,Scolopacidae,Calidris temminckii,100,EXACT
,Scolopaciddae,Philomachus pygnax,,"Philomachus pugnax (Linnaeus, 1758)",SPECIES,Scolopacidae,Philomachus pugnax,95,FUZZY
,Scolopaciddae,Himantopus himantopus,,"Himantopus himantopus (Linnaeus, 1758)",SPECIES,Recurvirostridae,Himantopus himantopus,100,EXACT
,Scolopaciddae,Haematopus ostralegus,,"Haematopus ostralegus Linnaeus, 1758",SPECIES,Haematopodidae,Haematopus ostralegus,100,EXACT
,Recurvirostridae,Himantopus himantopus,,"Himantopus himantopus (Linnaeus, 1758)",SPECIES,Recurvirostridae,Himantopus himantopus,100,EXACT
,Recurvirostridae,Recurvirosttra avosetta,,"Recurvirostra avosetta Linnaeus, 1758",SPECIES,Recurvirostridae,Recurvirostra avosetta,92,FUZZY
,Jacanidae,Actophilornis africana,,"Actophilornis africanus (Gmelin, 1789)",SPECIES,Jacanidae,Actophilornis africanus,95,FUZZY
,Jacanidae,Rostratula benghalensis,,"Rostratula benghalensis (Linnaeus, 1758)",SPECIES,Rostratulidae,Rostratula benghalensis,100,EXACT
,Gruidae,Balearica pavonina,,"Balearica pavonina (Linnaeus, 1758)",SPECIES,Gruidae,Balearica pavonina,100,EXACT
,Rallidae,Gallinula chloropus,,"Gallinula chloropus (Linnaeus, 1758)",SPECIES,Rallidae,Gallinula chloropus,100,EXACT
,Rallidae,Porphyrio porphyrio,,"Porphyrio porphyrio (Linnaeus, 1758)",SPECIES,Rallidae,Porphyrio porphyrio,100,EXACT
,Laridae,Larus ridibundus,,"Larus ridibundus Linnaeus, 1766",SPECIES,Laridae,Larus ridibundus,100,EXACT
,Laridae,Larus genei,,"Larus genei Breme, 1839",SPECIES,Laridae,Larus genei,100,EXACT
,Laridae,Larus cirrhocephalus,,"Larus cirrocephalus Vieillot, 1818",SPECIES,Laridae,Larus cirrocephalus,93,FUZZY
,Laridae,Larus audouinii,,"Larus audouinii Payraudeau, 1826",SPECIES,Laridae,Larus audouinii,100,EXACT
,Laridae,Larus fuscus,,"Larus fuscus Linnaeus, 1758",SPECIES,Laridae,Larus fuscus,100,EXACT
,Laridae,Gelochelidon nilotica,,"Gelochelidon nilotica (Gmelin, 1789)",SPECIES,Laridae,Gelochelidon nilotica,100,EXACT
,Laridae,Sterna caspia,,"Sterna caspia Pallas, 1770",SPECIES,Laridae,Sterna caspia,100,EXACT
,Laridae,Sterna maxima,,"Sterna maxima Boddaert, 1783",SPECIES,Laridae,Sterna maxima,100,EXACT
,Laridae,Sterna sandvicensis,,"Sterna sandvicensis Latham, 1787",SPECIES,Laridae,Sterna sandvicensis,100,EXACT
,Laridae,Sterna dougallii,,"Sterna dougallii Montagu, 1813",SPECIES,Laridae,Sterna dougallii,100,EXACT
,Laridae,Sterna hirundo,,"Sterna hirundo Linnaeus, 1758",SPECIES,Laridae,Sterna hirundo,100,EXACT
,Laridae,Sterna paradisea,,"Sterna paradisaea Pontoppidan, 1763",SPECIES,Laridae,Sterna paradisaea,95,FUZZY
,Laridae,Chlidonias leucoptera,,"Chlidonias leucopterus (Temminck, 1815)",SPECIES,Laridae,Chlidonias leucopterus,95,FUZZY
,Laridae,Chlidonias niger,,"Chlidonias niger (Linnaeus, 1758)",SPECIES,Laridae,Chlidonias niger,100,EXACT
,Laridae,Chlidonias hybridus,,"Chlidonias hybridus (Pallas, 1811)",SPECIES,Laridae,Chlidonias hybridus,99,EXACT
,Laridae,Sterna albifrons,,"Sterna albifrons Pallas, 1764",SPECIES,Laridae,Sterna albifrons,100,EXACT
