55,COLUBRIDAE,"Scutophis moilensis (Reuss, 1834)","Scutophis moilensis Brandstätter, 1995",SPECIES,Colubridae,Scutophis moilensis,100,EXACT
56,COLUBRIDAE,"Psammophis elegans Shaw, 1802","Psammophis elegans Shaw, 1802",SPECIES,Colubridae,Psammophis elegans,100,EXACT
57,COLUBRIDAE,"Psammophis phillipsi (Hallowell, 1844)","Psammophis phillipsi Hallowell, 1844",SPECIES,Colubridae,Psammophis phillipsi,100,EXACT
58,COLUBRIDAE,"Psammophis schokari (Forskal, 1775)","Psammophis schokari Forskal, 1775",SPECIES,Colubridae,Psammophis schokari,100,EXACT
59,COLUBRIDAE,"Psammophis sibilans (Linnaeus, 1758)","Psammophis sibilans Linnaeus, 1758",SPECIES,Colubridae,Psammophis sibilans,100,EXACT
60,COLUBRIDAE,"Spalerosophis diadema (Schlegel, 1837)","Spalerosophis diadema Schlegel, 1837",SPECIES,Colubridae,Spalerosophis diadema,100,EXACT
61,COLUBRIDAE,"Telescopus guidimakaensis (Chabanaud, 1916)","Telescopus Wagler, 1830",GENUS,Colubridae,Telescopus,96,HIGHERRANK
62,COLUBRIDAE,"Ramphiophis oxyrynchus (Rheinhardt, 1843)",,,,,100,NONE
63,ELAPIDAE,"Elapsoidea semiannulata Bocage, 1882","Elapsoidea semiannulata Bocage, 1882",SPECIES,Elapidae,Elapsoidea semiannulata,100,EXACT
64,ELAPIDAE,"Naja katiensis Angel, 1922","Naja katiensis Angel, 1922",SPECIES,Elapidae,Naja katiensis,100,EXACT
65,ELAPIDAE,"Naja nigricollis Reinhardt, 1843","Naja nigricollis Reinhardt, 1843",SPECIES,Elapidae,Naja nigricollis,100,EXACT
66,PYTHONIDAE,"Python sebae Gmelin, 1788","Python sebae Gmelin, 1789",SPECIES,Boidae,Python sebae,100,EXACT
67,VIPERIDAE,"Causus maculatus (Hallowell, 1842)","Causus maculatus Hallowell, 1842",SPECIES,Viperidae,Causus maculatus,100,EXACT
68,VIPERIDAE,"Cerastes cerastes (Linnaeus, 1758)","Cerastes cerastes Linnaeus, 1758",SPECIES,Viperidae,Cerastes cerastes,100,EXACT
69,VIPERIDAE,"Cerastes vipera (Linnaeus, 1758)","Cerastes vipera Linnaeus, 1758",SPECIES,Viperidae,Cerastes vipera,100,EXACT
70,VIPERIDAE,"Bitis arietans (Merrem, 1820)","Bitis arietans Merrem, 1820",SPECIES,Viperidae,Bitis arietans,100,EXACT
71,VIPERIDAE,"Echis leucogaster Roman, 1972","Echis leucogaster Roman, 1972",SPECIES,Viperidae,Echis leucogaster,100,EXACT
72,VIPERIDAE,"Echis ocellatus Stemmler, 1970","Echis ocellatus Stemmler, 1970",SPECIES,Viperidae,Echis ocellatus,100,EXACT
73,CROCODYLIDAE,"Crocodylus cataphractus Cuvier, 1825","Crocodylus cataphractus Cuvier, 1825",SPECIES,Crocodylidae,Crocodylus cataphractus,100,EXACT
74,CROCODYLIDAE,"Crocodylus suchus (Geoffroy Saint-Hilaire, 1807)","Crocodylus suchus Schmitz, 2003",SPECIES,Crocodylidae,Crocodylus suchus,100,EXACT
75,CHELONIIDAE,"Caretta caretta (Linnaeus, 1758)","Caretta caretta Linnaeus, 1758",SPECIES,Cheloniidae,Caretta caretta,100,EXACT
76,CHELONIIDAE,"Chelonia mydas (Linnaeus, 1758)","Chelonia mydas Linnaeus, 1758",SPECIES,Cheloniidae,Chelonia mydas,100,EXACT
77,CHELONIIDAE,"Eretmochelys imbricata (Linnaeus, 1766)","Eretmochelys imbricata (Linnaeus, 1766)",SPECIES,Cheloniidae,Eretmochelys imbricata,100,EXACT
78,CHELONIIDAE,"Lepidochelys kempii (Garman, 1880)","Lepidochelys kempii Garman, 1880",SPECIES,Cheloniidae,Lepidochelys kempii,100,EXACT
79,CHELONIIDAE,"Lepidochelys olivacea (Eschscholtz, 1829)","Lepidochelys olivacea Eschscholtz, 1829",SPECIES,Cheloniidae,Lepidochelys olivacea,100,EXACT
80,DERMOCHELYIDAE,"Dermochelys coriacea (Vandelli, 1761)","Dermochelys coriacea Vandelli, 1761",SPECIES,Dermochelyidae,Dermochelys coriacea,100,EXACT
81,EMYDIDAE,"Mauremys leprosa (Scheweiger, 1812)","Mauremys leprosa Schweigger, 1812",SPECIES,Geoemydidae,Mauremys leprosa,100,EXACT
82,PELOMEDUSIDAE,"Pelusios adansoni (Schweigger, 1812)","Pelusios adansonii Schweigger, 1812",SPECIES,Pelomedusidae,Pelusios adansonii,95,FUZZY
83,PELOMEDUSIDAE,"Pelomedusa subrufa (Bonnaterra, 1789)","Pelomedusa subrufa Bonnaterre, 1789",SPECIES,Pelomedusidae,Pelomedusa subrufa,100,EXACT
84,TESTUDINIDAE,"Geochelone sulcata (Miller, 1779)","Geochelone sulcata Miller, 1779",SPECIES,Testudinidae,Geochelone sulcata,100,EXACT
85,TRIONYCHIDAE,"Cyclanorbis senegalensis (Duméril & Bibron, 1835)","Cyclanorbis senegalensis Duméril & Bibron, 1835",SPECIES,Trionychidae,Cyclanorbis senegalensis,100,EXACT
86,TRIONYCHIDAE,"Trionyx triunguis (Forskal, 1775)","Trionyx triunguis Forskal, 1775",SPECIES,Trionychidae,Trionyx triunguis,100,EXACT
